epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
108,2366.55,0.57193,0.46874,1.01701,0.81467,0.73703,0.83248,0.63365,1.00799,1.81661,1.15055,0.000289823,0.000289823,0.000289823
109,2388.46,0.54599,0.45089,1.00714,0.78461,0.68559,0.80172,0.62859,0.96917,1.89088,1.13706,0.000285344,0.000285344,0.000285344
110,2410.29,0.55599,0.45192,1.0151,0.82718,0.65767,0.78153,0.60476,1.00311,2.18381,1.1607,0.000280866,0.000280866,0.000280866
111,2432.07,0.5547,0.44159,1.01669,0.78092,0.67073,0.78214,0.59981,1.02003,2.10968,1.14505,0.000276388,0.000276388,0.000276388
112,2453.96,0.55276,0.44858,1.01311,0.77756,0.70564,0.78946,0.62064,0.96103,1.91125,1.14281,0.000271909,0.000271909,0.000271909
113,2475.74,0.54741,0.44673,1.00729,0.76701,0.76217,0.80669,0.63622,0.93666,1.72641,1.12213,0.000267431,0.000267431,0.000267431
114,2497.49,0.54683,0.44837,1.00955,0.78774,0.67038,0.77412,0.57997,1.0446,2.06073,1.19158,0.000262953,0.000262953,0.000262953
115,2519.35,0.53007,0.43802,1.00096,0.83602,0.70689,0.79131,0.5975,1.07147,1.92977,1.19968,0.000258474,0.000258474,0.000258474
116,2541.4,0.5347,0.4373,1.00723,0.79881,0.68274,0.77551,0.58644,1.04475,2.05676,1.19216,0.000253996,0.000253996,0.000253996
117,2563.21,0.5348,0.43828,0.99401,0.77155,0.64527,0.77574,0.59941,1.0048,2.18349,1.18211,0.000249518,0.000249518,0.000249518
118,2585.07,0.52496,0.42972,0.9984,0.79657,0.68722,0.81091,0.61621,0.99953,1.89622,1.18022,0.00024504,0.00024504,0.00024504
119,2606.99,0.5308,0.4284,1.00123,0.82581,0.7253,0.82718,0.62794,1.00486,1.75423,1.1871,0.000240561,0.000240561,0.000240561
120,2628.87,0.52614,0.43253,1.00133,0.80454,0.63549,0.76327,0.58552,1.04652,2.13196,1.22855,0.000236083,0.000236083,0.000236083
121,2650.77,0.52863,0.42568,0.9991,0.79074,0.68631,0.78372,0.583,1.08694,2.05148,1.20433,0.000231605,0.000231605,0.000231605
122,2672.54,0.53379,0.42498,1.00449,0.8419,0.72284,0.80578,0.62405,0.9607,1.69473,1.13422,0.000227126,0.000227126,0.000227126
123,2694.32,0.52616,0.4257,0.99875,0.80419,0.69233,0.7991,0.61426,0.97359,1.892,1.16513,0.000222648,0.000222648,0.000222648
124,2716.01,0.52158,0.42105,1.00213,0.7822,0.70835,0.81099,0.62999,0.92918,1.82394,1.1383,0.00021817,0.00021817,0.00021817
125,2737.73,0.52687,0.42187,1.00126,0.77337,0.72519,0.83049,0.6405,0.97733,1.81199,1.1507,0.000213692,0.000213692,0.000213692
126,2759.52,0.51623,0.40378,0.98885,0.79692,0.67538,0.80595,0.62341,0.98506,2.00476,1.16193,0.000209213,0.000209213,0.000209213
127,2781.48,0.50817,0.41227,0.99172,0.83184,0.70193,0.82255,0.63255,0.98494,1.93437,1.16697,0.000204735,0.000204735,0.000204735
128,2803.55,0.51331,0.40868,0.99798,0.82852,0.68624,0.81842,0.63411,0.98374,1.94881,1.1765,0.000200257,0.000200257,0.000200257
129,2825.53,0.5083,0.41725,0.99628,0.80605,0.74137,0.81666,0.63607,0.96532,1.7358,1.16668,0.000195778,0.000195778,0.000195778
130,2847.57,0.50643,0.41784,0.99505,0.80422,0.67365,0.781,0.60657,1.03743,2.14535,1.20202,0.0001913,0.0001913,0.0001913
131,2869.79,0.50482,0.40998,0.99157,0.80965,0.68975,0.80021,0.62191,0.9837,1.99151,1.17373,0.000186822,0.000186822,0.000186822
132,2891.53,0.49758,0.3993,0.98788,0.79019,0.71313,0.81397,0.63588,0.98814,1.87395,1.16463,0.000182343,0.000182343,0.000182343
133,2913.28,0.49617,0.4001,0.98482,0.81881,0.62214,0.77304,0.6076,0.9989,2.2992,1.16771,0.000177865,0.000177865,0.000177865
134,2935.18,0.49656,0.40027,0.9923,0.80605,0.67823,0.78755,0.61704,1.03909,2.09624,1.17833,0.000173387,0.000173387,0.000173387
135,2956.82,0.48802,0.39242,0.98209,0.82228,0.68632,0.78152,0.62118,1.01586,2.01145,1.18549,0.000168909,0.000168909,0.000168909
136,2978.5,0.49089,0.39126,0.97978,0.84553,0.63103,0.75658,0.60009,1.00582,2.27585,1.178,0.00016443,0.00016443,0.00016443
137,3000.3,0.48138,0.3892,0.9832,0.83135,0.6331,0.75723,0.59427,0.99709,2.32286,1.17984,0.000159952,0.000159952,0.000159952
138,3022.14,0.49444,0.38693,0.99091,0.82393,0.6131,0.70203,0.55009,1.00653,2.61145,1.2019,0.000155474,0.000155474,0.000155474
139,3044.11,0.4761,0.38294,0.97718,0.80504,0.67412,0.769,0.60018,0.96918,2.04647,1.18281,0.000150995,0.000150995,0.000150995
140,3065.97,0.47523,0.38933,0.9735,0.8245,0.66567,0.77344,0.60586,0.9947,2.20155,1.18098,0.000146517,0.000146517,0.000146517
141,3087.86,0.48024,0.39501,0.97903,0.84191,0.6385,0.75685,0.5849,1.01446,2.27325,1.1975,0.000142039,0.000142039,0.000142039
142,3109.69,0.47142,0.38522,0.97423,0.87461,0.61842,0.71504,0.57066,0.96359,2.39241,1.16741,0.000137561,0.000137561,0.000137561
143,3131.39,0.46759,0.38304,0.97563,0.86113,0.61588,0.72698,0.5758,1.00396,2.43501,1.20203,0.000133082,0.000133082,0.000133082
144,3153.18,0.48088,0.37974,0.98007,0.82027,0.6315,0.71052,0.56953,0.98195,2.3768,1.18751,0.000128604,0.000128604,0.000128604
145,3175.26,0.45976,0.3758,0.97004,0.76671,0.67765,0.78609,0.62838,0.9296,1.94851,1.14569,0.000124126,0.000124126,0.000124126
146,3197.27,0.46144,0.3796,0.97132,0.78778,0.61679,0.74869,0.58103,0.99281,2.28032,1.18856,0.000119647,0.000119647,0.000119647
147,3219.25,0.47583,0.37812,0.98105,0.80329,0.64453,0.75744,0.59964,0.9855,2.27791,1.17751,0.000115169,0.000115169,0.000115169
148,3241.29,0.46297,0.36881,0.97579,0.81718,0.6847,0.78388,0.62175,0.97359,2.02659,1.15519,0.000110691,0.000110691,0.000110691
149,3263.7,0.45899,0.37028,0.96592,0.82637,0.62995,0.76343,0.60417,0.99189,2.20292,1.17198,0.000106212,0.000106212,0.000106212
